*Time 	DacVAmpOut	load	clear	estDown	estUp	sdown	sup
5,83961758535493E-6	-0,245392664256638	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
1,07906706701527E-5	-0,245397339558494	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
2,25526967394366E-5	-0,24539774133582	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
3,82353981651484E-5	-0,24539772185447	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
6,9600801016572E-5	-0,245397719575306	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,000132331606719419	-0,245397719879383	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,000257793218125114	-0,245397719864414	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,000508716440936503	-0,24539771987554	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0010087162409365	-0,245397719866195	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0015087160409365	-0,24539771987484	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0020087158409365	-0,245397719872854	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0025087156409365	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0030087154409365	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0035087152409365	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0040087150409365	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0045087148409365	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,00499999972	-0,245397719872844	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,00499999992	-0,245397725064088	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,00500526897613737	-0,245397719985725	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00502062899459452	-0,245397719857717	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00504110901920404	-0,245397719877968	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,0050820690684231	-0,245397719878026	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,0051639891668612	-0,245397719886137	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00532782936373741	-0,245397719846541	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00565550975748982	-0,245397719886085	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00615550955748982	-0,245397719864619	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00665550935748982	-0,245397719874839	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00715550915748983	-0,245397719872854	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00765550895748983	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00815550875748983	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00865550855748982	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00915550835748982	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00965550815748982	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00999999972	-0,245397719881109	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,00999999992	-0,245397720272378	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	0,25
0,010007376322055	-0,245397719866045	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,010014749124111	-0,245397719865247	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0100294947282229	-0,245397719879739	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0100589859364469	-0,245397719879841	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0101179683528947	-0,245397719877128	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0102359331857904	-0,245397719863072	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0104718628515819	-0,245397719875722	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0109437221831648	-0,245397719865803	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0114437219831648	-0,245397719875012	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0119437217831648	-0,245397719872851	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0124437215831648	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0129437213831648	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
0,0134437211831648	-0,24539771987285	3,39999999999999	0,249999999999999	3,39999999999999	3,39999999999999	3,4	3,4
